ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Lochside 1981,650.0,70,0.46,928.57 per litre
 SMWS 53.70 (Caol Ila),650.0,70,0.58,928.57 per litre
 SMWS 53.62 (Caol Ila),650.0,70,0.58,928.57 per litre
 Clynelish 1982,650.0,70,0.46,928.57 per litre
 Millburn 1983,650.0,70,0.6,928.57 per litre
 Littlemill 1989,650.0,70,0.49,928.57 per litre
 Littlemill 1989,650.0,70,0.53,928.57 per litre
 Littlemill 1988,650.0,70,0.52,928.57 per litre
 Glenlivet 12 Year Old,650.0,75,0.46,866.67 per litre
 Springbank 12 Year Old,650.0,75,0.46,866.67 per litre
 Littlemill 1984,650.0,70,0.46,928.57 per litre
 Glen Mhor 1965,660.0,70,0.43,942.86 per litre
 North Port Brechin 1974,675.0,75,0.43,900 per litre
